t,q1,q2,q3,q4,q5,q6,v1,v2,v3,v4,v5,v6,R,VB,p,qterminal,e4,e5,cost
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3.438004920034738e-7,1.9435987865325553e-7,6.898252842505695e-8,8.451329834874045e-8,2.842512007046891e-7,3.9175096330845784e-7,0.00010299752487906715,5.81590915145665e-5,2.1003990810943235e-5,2.578873766294824e-5,8.421283910346937e-5,0.00011443045184586057,1.7794884401430352e-8,2.1676794471088736e-10,6.205620919956197e-9,1.551398634395847e-8,-0.00275813918795491,-0.0008208624183659224,5.272901677879434e-6
0.02,2.739095404959775e-6,1.5433759947137005e-6,5.754813473767879e-7,7.080874425332499e-7,2.1917284895754797e-6,2.902228536714441e-6,0.00040974311624609593,0.000230395931101959,8.857522438031706e-5,0.0001091453609647989,0.0003207973864616984,0.0004136606885448786,1.375145861492538e-7,3.2785458432254503e-9,9.186689597703148e-8,2.2966326114637995e-7,-0.005376313995398769,-0.0016577894471309776,2.0179520765330294e-5
0.03,9.206899603183557e-6,5.172688168299207e-6,2.014827914666533e-6,2.480763624697337e-6,7.136857731935751e-6,9.108947698643805e-6,0.0009169630246599864,0.0005137721118359545,0.00020840488883197615,0.0002564179544385307,0.0006884885838471521,0.0008465859956241025,4.5005757617245426e-7,1.5744239774509284e-8,4.318989913467091e-7,1.0797046616719371e-6,-0.007885866165604376,-0.0025060255626336895,4.3697698716004134e-5
0.04,2.1736014022045887e-5,1.218108209801139e-5,4.932488499070624e-6,6.0620801529101e-6,1.633821061535024e-5,2.0158535723617597e-5,0.001621482744092807,0.0009058413622685731,0.00038487131595290897,0.00047132087249019,0.0011692842190226425,0.001377237992753233,1.0377710132613823e-6,4.734317003201684e-8,1.271950688673082e-6,3.1796489572262857e-6,-0.010308779762475313,-0.0033616975060874205,7.511242232907775e-5
0.05,4.22838722135778e-5,2.3645019779114793e-5,9.912137661620006e-6,1.213909780657684e-5,3.08484041992575e-5,3.6894105673872575e-5,0.002520199531811744,0.0014045737358295916,0.0006212731882312179,0.0007557580207560433,0.0017479149919918777,0.0019802551251789104,1.976836204784294e-6,1.1026305496117635e-7,2.9027500767394442e-6,7.256050955545711e-6,-0.012660490392060464,-0.004221666756751565,0.00011388960307009132
0.06,7.277715751749342e-5,4.062247897407128e-5,1.756586003984481e-5,2.1411339042250454e-5,5.157914981481372e-5,5.9944526002140635e-5,0.0036100635003137125,0.0020082928334599617,0.0009200231795159985,0.0011103971389959185,0.002411401723688294,0.0026377108925438944,3.338671719940773e-6,2.1863579535509214e-7,5.642950344640559e-6,1.4105036720999994e-5,-0.014951851724966197,-0.005083404760061505,0.00015960136410306372
0.07,0.00011511226282991982,6.41562205494317e-5,2.8526118900130285e-5,3.458054733292211e-5,7.93222487764302e-5,8.978700727539166e-5,0.004888064685588337,0.002715623798316347,0.0012828087067257852,0.0015350699010697618,0.0031486853045767046,0.0033368926836885283,5.190755891849319e-6,3.881632086937875e-7,9.82775874884929e-6,2.456378099706963e-5,-0.017190512044863698,-0.005944890822769271,0.00021188200899298993
0.08,0.0001711556431128776,9.527658165653874e-5,4.3439191366100756e-5,5.234380219738608e-5,0.00011476720028266024,0.0001267910023772283,0.0063512242759315414,0.0035254502229418896,0.001710725327623423,0.0020290502016642857,0.003950317377168906,0.004068746178627602,7.597108515857374e-6,6.358445372928871e-7,1.5801508756823006e-5,3.949183835414061e-5,-0.019381877771911398,-0.006804525534188542,0.0002704023318017237
0.09,0.0002427440955258402,0.00013500387618416154,6.29598201414233e-5,7.538896593975543e-5,0.0001585159775328374,0.00017124901889243856,0.007996588731848052,0.004436878459486921,0.002204387350189023,0.002591247285227476,0.004808201770793164,0.004826785757042276,1.0618575277618513e-5,9.797787532842255e-7,2.3912909626463813e-5,5.975916595767054e-5,-0.02152978782528016,-0.007661059302664409,0.00033485491363671234
