t,q1,q2,q3,q4,q5,q6,v1,v2,v3,v4,v5,v6,R,VB,p,qterminal,e4,e5,cost
0.0,0.0,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010735547360362343,-0.00947481115688486,6.977574520983332e-5
0.01,7.975349154145063e-7,1.7526901880580818e-5,0.14899903838455908,-3.487664153072901e-7,-8.704542116379207e-6,3.809658796880155e-7,0.00019261653151724574,0.0035010510923385247,-0.00016648674185756014,-5.8273825666501576e-5,-0.0016699330114802108,0.00011133282305098212,7.785842714597898e-7,7.019158158745582e-8,2.233771517308543e-6,5.584371875252756e-6,-0.0037175933227431277,-0.010126739317838827,8.752308119501733e-5
0.02,4.509826751041559e-6,6.9950439865425e-5,0.1489971817530687,-9.245638063455879e-7,-3.207577378847934e-5,2.8261806086664685e-6,0.0005824845336641013,0.006980915249855548,-0.0001795651956397025,-4.438846206190939e-5,-0.0029427155672611728,0.0004032017121738837,1.7800864300083344e-6,2.176617084652401e-7,6.9307807614159175e-6,1.732617962097802e-5,-0.006232552588486836,-0.010810334855426736,0.00011417282153704655
0.03,1.3095498188487663e-5,0.00015710575337718366,0.14899594560833884,-9.80378915317362e-7,-6.641003434811197e-5,8.882048477421332e-6,0.001166835875555574,0.010448929886245285,-4.311238610701116e-5,4.626581790915964e-5,-0.003870610395392701,0.0008266610420609192,3.088583009245025e-6,3.771522750068599e-7,1.1993629167770478e-5,2.998076447907249e-5,-0.008647589793994838,-0.011518372840713316,0.00014879409262262317
0.04,2.8485751247238035e-5,0.00027891937770046046,0.1489968023660923,2.642992395590964e-7,-0.00010848912063030308,1.9681777930104967e-5,0.0019429501611255033,0.01391403247270312,0.00023818037763807733,0.00021593141108248098,-0.00449864082161319,0.0013471671512759527,4.78033587626452e-6,5.134760834077358e-7,1.624517143166517e-5,4.0604101109801005e-5,-0.010983032851433608,-0.012245026451765874,0.00019073086071513665
0.05,5.258472903677473e-5,0.0004354051398071617,0.14900117457862425,3.6038851373750053e-6,-0.00015551341688321903,3.606662670743732e-5,0.00290813312165885,0.017384741856356994,0.0006590706149623057,0.00046525271109733085,-0.004865665340668014,0.0019402781215387271,6.92592945078712e-6,6.12731379160238e-7,1.914922355027728e-5,4.785491081757912e-5,-0.013253037585020243,-0.01298562181503353,0.00023948947359416655
0.06,8.726970175463778e-5,0.0006266599298971021,0.14901043050341375,9.833551144480444e-6,-0.00020504491372965974,5.867096699499878e-5,0.004059702603329082,0.020869151554101018,0.0012139724387340348,0.0007938104995006525,-0.005005285681279666,0.0025886416510130664,9.591532593851627e-6,6.759344392222505e-7,2.0609626061334355e-5,5.1492460066805e-5,-0.015467447284531137,-0.013736434531899025,0.0002946720754751497
0.07,0.00013439114032461015,0.0008528594535300056,0.1490258815166144,1.9740556001752276e-5,-0.000254958587930159,8.798200636569534e-5,0.0053949797795638296,0.024374932154180573,0.0018971193119698673,0.0012004921736514297,-0.004946614924226182,0.0032798848795823547,1.2839642877014185e-5,7.144228203038338e-7,2.0826234890726322e-5,5.201654204848285e-5,-0.01763309373977257,-0.014494521616837477,0.00035593732900376864
0.08,0.00019577272114791765,0.0011142540437046847,0.1490487809647379,3.409866821608783e-5,-0.00030340085751340366,0.00012438175202344898,0.00691128393377082,0.027909340566339626,0.002702690209619405,0.001683747348059011,-0.004714927852435106,0.004005135801250387,1.6729526523120295e-5,7.465557156161093e-7,2.019226202788223e-5,5.0410743970070086e-5,-0.01975470755745166,-0.015257581386775021,0.0004229774401553225
0.09,0.00027321129158191626,0.0014111645919272185,0.14908032412456704,5.36647215377256e-5,-0.0003487540304396307,0.0001681765317302208,0.008605929662521135,0.03147923429609799,0.0036249061532585823,0.002241763470950665,-0.004332212145022416,0.0047579869775267155,2.1317481624888005e-5,7.953634468425245e-7,1.9221616337463215e-5,4.7960658886593826e-5,-0.02183555442044508,-0.016023838272317494,0.0004955049503204342
0.1,0.00036847681609144265,0.001743978640865661,0.14912164900471997,7.917663119722534e-5,-0.0003896058358188669,0.00021961779235473423,0.010476225696871386,0.0350910892763346,0.004658102868115614,0.0028725857125689704,-0.0038176360676712225,0.005533769000931395,2.66570007972256e-5,8.868899242443116e-7,1.849796752633945e-5,4.612637258117473e-5,-0.023877879972364218,-0.01679194734199111,0.0005732453319350699
0.11,0.0004833123163189089,0.0021131466683260926,0.14917383777419818,0.00011135240338415613,-0.0004247232700414372,0.0002789167820719121,0.012519474788669526,0.038751020129401945,0.005796784225688004,0.0035741980687837654,-0.003187945768134588,0.0063290409150449575,3.279887840638805e-5,1.049039444973584e-6,1.8639495865153038e-5,4.6454147752492e-5,-0.025883220701486676,-0.01756091494192859,0.0006559329912512838
0.12,0.0006194338136840844,0.0025191785820658074,0.14923791864569566,0.00015088981293623615,-0.0004530301104319228,0.00034625494159231746,0.014732974277363527,0.042464801936642455,0.007035660341867001,0.004344577540813937,-0.0024578031642738243,0.007141232602766327,3.979128867636297e-5,1.3107890741774434e-6,2.0274926346876274e-5,5.051631285473627e-5,-0.027852620822567228,-0.01833003417655234,0.0007433092679582404
0.13,0.0007785302799176945,0.0029626404368774378,0.14931486807652952,0.0001984665238988353,-0.0004735875499977034,0.0004217912831041358,0.017114017074111147,0.04623789282866091,0.008369673461705477,0.005181729673918021,-0.0016400736853410848,0.007968393641625085,4.767984971710034e-5,1.701664729289906e-6,2.402764247846065e-5,5.987135059968563e-5,-0.029786783525157047,-0.01909883068165389,0.0008351215134890923
0.14,0.0009622635987524514,0.0034441513793662653,0.14940561317821105,0.0002547404971324047,-0.00048557749181670575,0.0005056676528938585,0.019659892884549366,0.05007545684253809,0.009794014204563882,0.006083711227236253,-0.0007460716390352,0.008809016772858181,5.650768179853005e-5,2.251406321435204e-6,3.0505549481735886e-5,7.603836503826102e-5,-0.03168617640138386,-0.019867018866367173,0.0009311227929038666
0.15,0.0011722685404994945,0.003964380820824158,0.14951103424925868,0.00032035057773367205,-0.0004882881129074912,0.0005980125055425522,0.022367889546427717,0.05398238663550897,0.011304130267974956,0.007048644026704345,0.00021423025090128698,0.009661913656173898,6.631546410978282e-5,2.9897674335327283e-6,4.029499643326844e-5,0.00010048170375277531,-0.033551104122196106,-0.020634465038086844,0.0010310718269311648
0.16,0.0014101527502299702,0.004524045835220878,0.1496319673644478,0.00039591718896322666,-0.0004811013674623293,0.000698943629841561,0.025235294402601475,0.0579633257453476,0.012895729267741218,0.008074722796663098,0.001232021689165244,0.0105261272988576,7.714149198417978e-5,3.946409822337838e-6,5.3957533967855445e-5,0.0001346026782099206,-0.0353817599384269,-0.021401158304641687,0.0011347331442745894
