t,q1,q2,q3,q4,q5,q6,v1,v2,v3,v4,v5,v6,R,VB,p,qterminal,e4,e5,cost
0.1,0.00047659806481356934,1.684997785604867e-5,-4.413832694405093e-6,0.14541234713093598,-7.191162874294584e-6,0.0013038587888846407,0.008017381132937117,0.0002577852771496858,-4.5516784495903164e-5,-0.06118283860187029,-9.200955939488227e-5,0.012636910076405498,1.1554786133328419e-5,0.006561788791259736,0.0347118046888742,0.07092094865980501,-0.003188407051706574,-5.097456277592851e-5,6.355710978492396e-6
0.11,0.0005587290026009244,1.9458449027392606e-5,-4.844216782950384e-6,0.14478328453766268,-8.09713891636908e-6,0.0014254164588768856,0.008399646233110965,0.00026356436812441,-4.045382269510884e-5,-0.06457621124973091,-8.902141444266569e-5,0.011673639583589152,1.160594376063048e-5,0.006531917223204184,0.03477937530796185,0.07122678860959655,-0.0025369491962521223,-4.45372013026359e-5,4.024095332381428e-6
0.12,0.00064441518102752,2.211486211329135e-5,-5.2210975662777494e-6,0.1441218460380573,-8.968667377813421e-6,0.001537353679573904,0.008729156274146237,0.00026742132182316073,-3.484637984094255e-5,-0.06766252677679942,-8.515507294349207e-5,0.010716662034210319,1.1637742981465582e-5,0.006498397132037334,0.03481923970374777,0.07146976931997856,-0.001974909919984079,-3.856698844903082e-5,2.4388124085691447e-6
0.13,0.000733150259068739,2.4801367957139173e-5,-5.539889956364355e-6,0.14343097246812048,-9.797966563316409e-6,0.0016398335761910118,0.009010094481246298,0.00026962496724216304,-2.886173889928684e-5,-0.0704672081459739,-8.060566154903687e-5,0.009784615340685678,1.1656458647623664e-5,0.006461397428517772,0.03483117307565487,0.07164859971977403,-0.0014841365459879186,-3.303831851765674e-5,1.3775029432994195e-6
0.14,0.0008244680326464993,2.75026442984609e-5,-5.797548221139165e-6,0.1427133651045358,-1.0579064600354347e-5,0.0017331683086602124,0.009246311299326357,0.0002704125341617974,-2.2641103330175578e-5,-0.07301284337366774,-7.554064239654873e-5,0.008889106192346344,1.1666538616309571e-5,0.006421101936129757,0.034815361840182836,0.07176307608192423,-0.001051302194686042,-2.7927543173801665e-5,6.913726500892088e-7
0.15,0.0009179392837013043,3.0205599171166068e-5,-5.992322803788237e-6,0.14197151131495445,-1.130754071250352e-5,0.0018177604693965285,0.00944135867752774,0.0002699934377674692,-1.6303042920139607e-5,-0.07531969970389404,-7.010330827459215e-5,0.008036919584365955,1.1671192224566414e-5,0.006377704333861804,0.034772314891735955,0.07181385461465536,-0.0006665018983890159,-2.3212070556288236e-5,2.7805494955491673e-7
0.16,0.0010131689422989319,3.2899109461919846e-5,-6.1235493172711555e-6,0.14120770575699013,-1.1980298901318902e-5,0.0018940630289041175,0.009598518663201282,0.0002685525362703417,-9.94648296452412e-6,-0.07740610710475078,-6.441579599639757e-5,0.007231558669738264,1.1672765711358363e-5,0.006331404134730121,0.034702792116225935,0.07180226805905464,-0.00032226667802325026,-1.887052916512861e-5,6.518380302256673e-8
0.17,0.0011097935121749426,3.557378977137593e-5,-6.19146536159761e-6,0.1404240682339986,-1.259536996655543e-5,0.00196255219877258,0.009720827689315738,0.0002662529525375906,-3.6532991657163994e-6,-0.07928874862244292,-5.8581739177474445e-5,0.006474316251248674,1.1672987632120891e-5,0.006282403447665449,0.03460774591899155,0.07173017547395635,-1.2870483779847675e-5,-1.4882536914759232e-5,2.739076954693234e-10
0.18,0.001207478721891366,3.822178765983064e-5,-6.197051631631933e-6,0.13962255899930584,-1.3151738238516537e-5,0.0020237092748898572,0.009811097549002923,0.0002632385403704943,2.509412990567757e-6,-0.08098288400323299,-5.268857326620508e-5,0.005765018837286846,1.1673133516399581e-5,0.006230904357388513,0.03448827295377776,0.07159983801858226,0.0002661576553799616,-1.122846239626398e-5,4.437191930818309e-8
0.19,0.0013059173722426668,4.083660200920256e-5,-6.141894231500381e-6,0.13880499207788446,-1.3649190045534977e-5,0.0020780087088625833,0.009871933771779693,0.0002596360479380107,8.48735749894851e-6,-0.08250252516515347,-4.680957785233471e-5,0.005102541877822505,1.1674139409191465e-5,0.00617710680769828,0.03434557409787363,0.0714138157356526,0.0005183776184849442,-7.889472005229717e-6,1.6799497691326598e-7
