case_index,label,steps,c,R_T,VB_T,p_T,qterminal_T,max_p,max_qterminal,max_cost,initial_norm_squared
1,origin_ramp,400,1.7,0.005173745374631259,0.00538937365079248,0.05553524954767705,0.13232300790140755,0.05553524954767705,0.13232300790140755,0.010523718862092305,0.0
2,q2_plus,400,1.7,0.00984855512578966,0.00888759776009873,0.09547898900758958,0.23110343717986265,0.09547898900758958,0.23110343717986265,0.026429808206759175,0.022201
3,q2_minus,400,1.7,0.0033223525113551897,0.008559152990367401,0.09361982154528586,0.2201852145273761,0.09361982154528586,0.2201852145273761,0.004939435230099238,0.022201
4,q3_plus,400,1.7,0.005356889798482202,0.006399709448870011,0.06671860553823908,0.16016300828043945,0.06671860553823908,0.16016300828043945,0.01175044985155545,0.022201
5,v6_plus,400,1.7,0.005198956514682236,0.005449584107663127,0.05558759612408756,0.1322332058684666,0.05558759612408756,0.1322332058684666,0.010508870702963687,0.022201
6,v6_minus,400,1.7,0.005276084240542763,0.0053312952150768415,0.0554948313579966,0.13243766099093185,0.0554948313579966,0.13243766099093185,0.0105386174121053,0.022201
7,q4_zero_input,400,0.0,1.3592258570808604e-5,0.001869788218830729,0.011254750641004964,0.024009161979370777,0.03483117307565487,0.07181674004054851,0.0005820405201323609,0.022201
8,v2_plus,400,1.7,0.005552203663374488,0.005944991374695949,0.06110952354540688,0.14631193833136644,0.06110952354540688,0.14631193833136644,0.012484117324685818,0.022201
