row,dq_j,dq_k,nu1,nu2,nu3,nu4,nu5,nu6,real_num,real_den,imag_num,imag_den
1,2,2,0,1,1,-1,2,0,0,1,-147,12800000
1,2,2,0,1,1,0,-1,0,0,1,-21,320000
1,2,2,0,1,1,0,0,0,0,1,-247,80000
1,2,2,0,1,1,0,1,0,0,1,-21,320000
1,2,2,0,1,1,1,-2,0,0,1,-147,12800000
1,2,2,0,1,1,1,-1,0,0,1,-147,1600000
1,2,2,0,1,1,1,1,0,0,1,147,1600000
1,2,2,0,1,1,1,2,0,0,1,147,12800000
1,2,2,0,1,1,2,-2,0,0,1,147,25600000
1,2,2,0,1,1,2,0,0,0,1,-147,12800000
1,2,2,0,1,1,2,2,0,0,1,147,25600000
1,2,3,0,-1,-1,-2,-2,0,0,1,-147,25600000
1,2,3,0,-1,-1,-2,0,0,0,1,147,12800000
1,2,3,0,-1,-1,-2,2,0,0,1,-147,25600000
1,2,3,0,-1,-1,-1,-2,0,0,1,-147,12800000
1,2,3,0,-1,-1,-1,-1,0,0,1,-147,1600000
1,2,3,0,-1,-1,-1,1,0,0,1,147,1600000
1,2,3,0,-1,-1,-1,2,0,0,1,147,12800000
1,2,3,0,-1,-1,0,-1,0,0,1,21,320000
1,2,3,0,-1,-1,0,0,0,0,1,247,80000
1,2,3,0,-1,-1,0,1,0,0,1,21,320000
1,2,3,0,-1,-1,1,-2,0,0,1,147,12800000
1,2,3,0,-1,-1,1,-1,0,0,1,63,400000
1,2,3,0,-1,-1,1,1,0,0,1,-63,400000
1,2,3,0,-1,-1,1,2,0,0,1,-147,12800000
1,2,3,0,-1,-1,2,-2,0,0,1,147,25600000
1,2,3,0,-1,-1,2,0,0,0,1,-147,12800000
1,2,3,0,-1,-1,2,2,0,0,1,147,25600000
1,2,3,0,1,1,-2,-2,0,0,1,-147,25600000
1,2,3,0,1,1,-2,0,0,0,1,147,12800000
1,2,3,0,1,1,-2,2,0,0,1,-147,25600000
1,2,3,0,1,1,-1,-2,0,0,1,147,12800000
1,2,3,0,1,1,-1,-1,0,0,1,63,400000
1,2,3,0,1,1,-1,1,0,0,1,-63,400000
1,2,3,0,1,1,-1,2,0,0,1,-147,12800000
1,2,3,0,1,1,0,-1,0,0,1,-21,320000
1,2,3,0,1,1,0,0,0,0,1,-247,80000
1,2,3,0,1,1,0,1,0,0,1,-21,320000
1,2,3,0,1,1,1,-2,0,0,1,-147,12800000
1,2,3,0,1,1,1,-1,0,0,1,-147,1600000
1,2,3,0,1,1,1,1,0,0,1,147,1600000
1,2,3,0,1,1,1,2,0,0,1,147,12800000
1,2,3,0,1,1,2,-2,0,0,1,147,25600000
1,2,3,0,1,1,2,0,0,0,1,-147,12800000
1,2,3,0,1,1,2,2,0,0,1,147,25600000
1,2,4,0,-1,-1,-2,-2,0,0,1,-147,25600000
1,2,4,0,-1,-1,-2,0,0,0,1,147,12800000
1,2,4,0,-1,-1,-2,2,0,0,1,-147,25600000
1,2,4,0,-1,-1,-1,-1,0,0,1,21,640000
1,2,4,0,-1,-1,-1,1,0,0,1,-21,640000
1,2,4,0,-1,-1,0,-2,0,0,1,147,12800000
1,2,4,0,-1,-1,0,0,0,0,1,-560441,19200000
1,2,4,0,-1,-1,0,2,0,0,1,147,12800000
1,2,4,0,-1,-1,1,-1,0,0,1,-21,640000
