row,col,nu1,nu2,nu3,nu4,nu5,nu6,real_num,real_den,imag_num,imag_den
1,1,0,0,-1,0,1,0,441,1600000,0,1
1,1,0,0,-1,1,-1,0,441,3200000,0,1
1,1,0,0,-1,1,1,0,-441,3200000,0,1
1,1,0,0,0,-2,-2,0,147,25600000,0,1
1,1,0,0,0,-2,0,0,-147,12800000,0,1
1,1,0,0,0,-2,2,0,147,25600000,0,1
1,1,0,0,0,-1,-1,0,-21,160000,0,1
1,1,0,0,0,-1,1,0,21,160000,0,1
1,1,0,0,0,0,-2,0,-147,12800000,0,1
1,1,0,0,0,0,-1,0,399,800000,0,1
1,1,0,0,0,0,0,0,15966557,19200000,0,1
1,1,0,0,0,0,1,0,399,800000,0,1
1,1,0,0,0,0,2,0,-147,12800000,0,1
1,1,0,0,0,1,-1,0,21,160000,0,1
1,1,0,0,0,1,1,0,-21,160000,0,1
1,1,0,0,0,2,-2,0,147,25600000,0,1
1,1,0,0,0,2,0,0,-147,12800000,0,1
1,1,0,0,0,2,2,0,147,25600000,0,1
1,1,0,0,1,-1,-1,0,-441,3200000,0,1
1,1,0,0,1,-1,1,0,441,3200000,0,1
1,1,0,0,1,0,-1,0,441,1600000,0,1
1,1,0,0,1,0,0,0,5187,400000,0,1
1,1,0,0,1,0,1,0,441,1600000,0,1
1,1,0,0,1,1,-1,0,-441,3200000,0,1
1,1,0,0,1,1,1,0,441,3200000,0,1
1,1,0,1,0,0,0,0,0,1,-777,25000
1,1,0,1,1,-1,-1,0,0,1,21,200000
1,1,0,1,1,-1,1,0,0,1,-21,200000
1,1,0,1,1,0,-1,0,0,1,-21,100000
1,1,0,1,1,0,0,0,0,1,-247,25000
1,1,0,1,1,0,1,0,0,1,-21,100000
1,1,0,1,1,1,-1,0,0,1,21,200000
1,1,0,1,1,1,1,0,0,1,-21,200000
1,1,0,2,0,0,0,0,-14553,800000,0,1
1,1,0,2,1,-1,-1,0,441,3200000,0,1
1,1,0,2,1,-1,1,0,-441,3200000,0,1
1,1,0,2,1,0,-1,0,-441,1600000,0,1
1,1,0,2,1,0,0,0,-5187,400000,0,1
1,1,0,2,1,0,1,0,-441,1600000,0,1
1,1,0,2,1,1,-1,0,441,3200000,0,1
1,1,0,2,1,1,1,0,-441,3200000,0,1
1,1,0,2,2,-2,-2,0,-147,51200000,0,1
1,1,0,2,2,-2,0,0,147,25600000,0,1
1,1,0,2,2,-2,2,0,-147,51200000,0,1
1,1,0,2,2,-1,-2,0,147,12800000,0,1
1,1,0,2,2,-1,-1,0,399,3200000,0,1
1,1,0,2,2,-1,1,0,-399,3200000,0,1
1,1,0,2,2,-1,2,0,-147,12800000,0,1
1,1,0,2,2,0,-2,0,-441,25600000,0,1
1,1,0,2,2,0,-1,0,-399,1600000,0,1
1,1,0,2,2,0,0,0,-63683,12800000,0,1
1,1,0,2,2,0,1,0,-399,1600000,0,1
1,1,0,2,2,0,2,0,-441,25600000,0,1
1,1,0,2,2,1,-2,0,147,12800000,0,1
1,1,0,2,2,1,-1,0,399,3200000,0,1
1,1,0,2,2,1,1,0,-399,3200000,0,1
1,1,0,2,2,1,2,0,-147,12800000,0,1
1,1,0,2,2,2,-2,0,-147,51200000,0,1
1,1,0,2,2,2,0,0,147,25600000,0,1
1,1,0,2,2,2,2,0,-147,51200000,0,1
1,2,0,-1,-1,-2,-2,0,147,25600000,0,1
1,2,0,-1,-1,-2,0,0,-147,12800000,0,1
1,2,0,-1,-1,-2,2,0,147,25600000,0,1
1,2,0,-1,-1,-1,-2,0,147,12800000,0,1
1,2,0,-1,-1,-1,-1,0,147,1600000,0,1
1,2,0,-1,-1,-1,1,0,-147,1600000,0,1
1,2,0,-1,-1,-1,2,0,-147,12800000,0,1
1,2,0,-1,-1,0,-1,0,-21,320000,0,1
1,2,0,-1,-1,0,0,0,-247,80000,0,1
1,2,0,-1,-1,0,1,0,-21,320000,0,1
1,2,0,-1,-1,1,-2,0,-147,12800000,0,1
1,2,0,-1,-1,1,-1,0,-63,400000,0,1
1,2,0,-1,-1,1,1,0,63,400000,0,1
1,2,0,-1,-1,1,2,0,147,12800000,0,1
1,2,0,-1,-1,2,-2,0,-147,25600000,0,1
1,2,0,-1,-1,2,0,0,147,12800000,0,1
1,2,0,-1,-1,2,2,0,-147,25600000,0,1
1,2,0,-1,0,-1,-1,0,441,3200000,0,1
1,2,0,-1,0,-1,1,0,-441,3200000,0,1
1,2,0,-1,0,0,0,0,-483,80000,0,1
1,2,0,-1,0,1,-1,0,-441,3200000,0,1
1,2,0,-1,0,1,1,0,441,3200000,0,1
1,2,0,1,0,-1,-1,0,441,3200000,0,1
1,2,0,1,0,-1,1,0,-441,3200000,0,1
1,2,0,1,0,0,0,0,-483,80000,0,1
1,2,0,1,0,1,-1,0,-441,3200000,0,1
1,2,0,1,0,1,1,0,441,3200000,0,1
1,2,0,1,1,-2,-2,0,-147,25600000,0,1
1,2,0,1,1,-2,0,0,147,12800000,0,1
1,2,0,1,1,-2,2,0,-147,25600000,0,1
1,2,0,1,1,-1,-2,0,147,12800000,0,1
1,2,0,1,1,-1,-1,0,63,400000,0,1
1,2,0,1,1,-1,1,0,-63,400000,0,1
1,2,0,1,1,-1,2,0,-147,12800000,0,1
1,2,0,1,1,0,-1,0,-21,320000,0,1
1,2,0,1,1,0,0,0,-247,80000,0,1
1,2,0,1,1,0,1,0,-21,320000,0,1
1,2,0,1,1,1,-2,0,-147,12800000,0,1
1,2,0,1,1,1,-1,0,-147,1600000,0,1
1,2,0,1,1,1,1,0,147,1600000,0,1
1,2,0,1,1,1,2,0,147,12800000,0,1
1,2,0,1,1,2,-2,0,147,25600000,0,1
1,2,0,1,1,2,0,0,-147,12800000,0,1
1,2,0,1,1,2,2,0,147,25600000,0,1
1,3,0,-1,-1,-2,-2,0,147,25600000,0,1
1,3,0,-1,-1,-2,0,0,-147,12800000,0,1
1,3,0,-1,-1,-2,2,0,147,25600000,0,1
1,3,0,-1,-1,-1,-2,0,147,12800000,0,1
1,3,0,-1,-1,-1,-1,0,147,1600000,0,1
1,3,0,-1,-1,-1,1,0,-147,1600000,0,1
1,3,0,-1,-1,-1,2,0,-147,12800000,0,1
1,3,0,-1,-1,0,-1,0,-21,320000,0,1
1,3,0,-1,-1,0,0,0,-247,80000,0,1
1,3,0,-1,-1,0,1,0,-21,320000,0,1
1,3,0,-1,-1,1,-2,0,-147,12800000,0,1
1,3,0,-1,-1,1,-1,0,-63,400000,0,1
1,3,0,-1,-1,1,1,0,63,400000,0,1
1,3,0,-1,-1,1,2,0,147,12800000,0,1
1,3,0,-1,-1,2,-2,0,-147,25600000,0,1
1,3,0,-1,-1,2,0,0,147,12800000,0,1
1,3,0,-1,-1,2,2,0,-147,25600000,0,1
1,3,0,1,1,-2,-2,0,-147,25600000,0,1
1,3,0,1,1,-2,0,0,147,12800000,0,1
1,3,0,1,1,-2,2,0,-147,25600000,0,1
1,3,0,1,1,-1,-2,0,147,12800000,0,1
1,3,0,1,1,-1,-1,0,63,400000,0,1
1,3,0,1,1,-1,1,0,-63,400000,0,1
1,3,0,1,1,-1,2,0,-147,12800000,0,1
1,3,0,1,1,0,-1,0,-21,320000,0,1
1,3,0,1,1,0,0,0,-247,80000,0,1
1,3,0,1,1,0,1,0,-21,320000,0,1
1,3,0,1,1,1,-2,0,-147,12800000,0,1
1,3,0,1,1,1,-1,0,-147,1600000,0,1
1,3,0,1,1,1,1,0,147,1600000,0,1
1,3,0,1,1,1,2,0,147,12800000,0,1
1,3,0,1,1,2,-2,0,147,25600000,0,1
1,3,0,1,1,2,0,0,-147,12800000,0,1
1,3,0,1,1,2,2,0,147,25600000,0,1
1,4,0,-1,-1,-1,-2,0,-147,12800000,0,1
1,4,0,-1,-1,-1,-1,0,-63,400000,0,1
1,4,0,-1,-1,-1,1,0,63,400000,0,1
1,4,0,-1,-1,-1,2,0,147,12800000,0,1
1,4,0,-1,-1,0,-2,0,-147,6400000,0,1
1,4,0,-1,-1,0,0,0,560441,9600000,0,1
1,4,0,-1,-1,0,2,0,-147,6400000,0,1
1,4,0,-1,-1,1,-2,0,-147,12800000,0,1
1,4,0,-1,-1,1,-1,0,-147,1600000,0,1
1,4,0,-1,-1,1,1,0,147,1600000,0,1
1,4,0,-1,-1,1,2,0,147,12800000,0,1
1,4,0,-1,0,-1,-1,0,-441,3200000,0,1
1,4,0,-1,0,-1,1,0,441,3200000,0,1
1,4,0,-1,0,1,-1,0,-441,3200000,0,1
1,4,0,-1,0,1,1,0,441,3200000,0,1
1,4,0,0,0,-1,-1,0,0,1,21,200000
1,4,0,0,0,-1,1,0,0,1,-21,200000
1,4,0,0,0,1,-1,0,0,1,21,200000
1,4,0,0,0,1,1,0,0,1,-21,200000
1,4,0,1,0,-1,-1,0,441,3200000,0,1
1,4,0,1,0,-1,1,0,-441,3200000,0,1
1,4,0,1,0,1,-1,0,441,3200000,0,1
1,4,0,1,0,1,1,0,-441,3200000,0,1
1,4,0,1,1,-1,-2,0,147,12800000,0,1
1,4,0,1,1,-1,-1,0,147,1600000,0,1
1,4,0,1,1,-1,1,0,-147,1600000,0,1
1,4,0,1,1,-1,2,0,-147,12800000,0,1
1,4,0,1,1,0,-2,0,-147,6400000,0,1
1,4,0,1,1,0,0,0,560441,9600000,0,1
1,4,0,1,1,0,2,0,-147,6400000,0,1
1,4,0,1,1,1,-2,0,147,12800000,0,1
1,4,0,1,1,1,-1,0,63,400000,0,1
1,4,0,1,1,1,1,0,-63,400000,0,1
1,4,0,1,1,1,2,0,-147,12800000,0,1
1,5,0,-1,-1,-1,-1,0,-63,400000,0,1
1,5,0,-1,-1,-1,0,0,-40147,3200000,0,1
1,5,0,-1,-1,-1,1,0,-63,400000,0,1
1,5,0,-1,-1,0,-1,0,-21,320000,0,1
1,5,0,-1,-1,0,1,0,21,320000,0,1
1,5,0,-1,-1,1,-1,0,147,1600000,0,1
1,5,0,-1,-1,1,0,0,40147,3200000,0,1
1,5,0,-1,-1,1,1,0,147,1600000,0,1
1,5,0,-1,0,-1,-1,0,-441,3200000,0,1
1,5,0,-1,0,-1,1,0,-441,3200000,0,1
1,5,0,-1,0,1,-1,0,441,3200000,0,1
1,5,0,-1,0,1,1,0,441,3200000,0,1
1,5,0,0,0,-1,-1,0,0,1,21,200000
1,5,0,0,0,-1,1,0,0,1,21,200000
1,5,0,0,0,1,-1,0,0,1,-21,200000
1,5,0,0,0,1,1,0,0,1,-21,200000
1,5,0,1,0,-1,-1,0,441,3200000,0,1
1,5,0,1,0,-1,1,0,441,3200000,0,1
1,5,0,1,0,1,-1,0,-441,3200000,0,1
1,5,0,1,0,1,1,0,-441,3200000,0,1
1,5,0,1,1,-1,-1,0,147,1600000,0,1
1,5,0,1,1,-1,0,0,40147,3200000,0,1
1,5,0,1,1,-1,1,0,147,1600000,0,1
1,5,0,1,1,0,-1,0,21,320000,0,1
1,5,0,1,1,0,1,0,-21,320000,0,1
1,5,0,1,1,1,-1,0,-63,400000,0,1
1,5,0,1,1,1,0,0,-40147,3200000,0,1
1,5,0,1,1,1,1,0,-63,400000,0,1
1,6,0,-1,-1,-1,-1,0,1,480,0,1
1,6,0,-1,-1,-1,1,0,-1,480,0,1
1,6,0,-1,-1,0,-1,0,1,240,0,1
1,6,0,-1,-1,0,1,0,1,240,0,1
1,6,0,-1,-1,1,-1,0,1,480,0,1
1,6,0,-1,-1,1,1,0,-1,480,0,1
1,6,0,1,1,-1,-1,0,-1,480,0,1
1,6,0,1,1,-1,1,0,1,480,0,1
1,6,0,1,1,0,-1,0,1,240,0,1
1,6,0,1,1,0,1,0,1,240,0,1
1,6,0,1,1,1,-1,0,-1,480,0,1
1,6,0,1,1,1,1,0,1,480,0,1
2,1,0,-1,-1,-2,-2,0,147,25600000,0,1
2,1,0,-1,-1,-2,0,0,-147,12800000,0,1
2,1,0,-1,-1,-2,2,0,147,25600000,0,1
2,1,0,-1,-1,-1,-2,0,147,12800000,0,1
2,1,0,-1,-1,-1,-1,0,147,1600000,0,1
2,1,0,-1,-1,-1,1,0,-147,1600000,0,1
2,1,0,-1,-1,-1,2,0,-147,12800000,0,1
2,1,0,-1,-1,0,-1,0,-21,320000,0,1
2,1,0,-1,-1,0,0,0,-247,80000,0,1
2,1,0,-1,-1,0,1,0,-21,320000,0,1
2,1,0,-1,-1,1,-2,0,-147,12800000,0,1
2,1,0,-1,-1,1,-1,0,-63,400000,0,1
2,1,0,-1,-1,1,1,0,63,400000,0,1
2,1,0,-1,-1,1,2,0,147,12800000,0,1
2,1,0,-1,-1,2,-2,0,-147,25600000,0,1
2,1,0,-1,-1,2,0,0,147,12800000,0,1
2,1,0,-1,-1,2,2,0,-147,25600000,0,1
2,1,0,-1,0,-1,-1,0,441,3200000,0,1
2,1,0,-1,0,-1,1,0,-441,3200000,0,1
2,1,0,-1,0,0,0,0,-483,80000,0,1
2,1,0,-1,0,1,-1,0,-441,3200000,0,1
2,1,0,-1,0,1,1,0,441,3200000,0,1
2,1,0,1,0,-1,-1,0,441,3200000,0,1
2,1,0,1,0,-1,1,0,-441,3200000,0,1
2,1,0,1,0,0,0,0,-483,80000,0,1
2,1,0,1,0,1,-1,0,-441,3200000,0,1
2,1,0,1,0,1,1,0,441,3200000,0,1
2,1,0,1,1,-2,-2,0,-147,25600000,0,1
2,1,0,1,1,-2,0,0,147,12800000,0,1
2,1,0,1,1,-2,2,0,-147,25600000,0,1
2,1,0,1,1,-1,-2,0,147,12800000,0,1
2,1,0,1,1,-1,-1,0,63,400000,0,1
2,1,0,1,1,-1,1,0,-63,400000,0,1
2,1,0,1,1,-1,2,0,-147,12800000,0,1
2,1,0,1,1,0,-1,0,-21,320000,0,1
2,1,0,1,1,0,0,0,-247,80000,0,1
2,1,0,1,1,0,1,0,-21,320000,0,1
2,1,0,1,1,1,-2,0,-147,12800000,0,1
2,1,0,1,1,1,-1,0,-147,1600000,0,1
2,1,0,1,1,1,1,0,147,1600000,0,1
2,1,0,1,1,1,2,0,147,12800000,0,1
2,1,0,1,1,2,-2,0,147,25600000,0,1
2,1,0,1,1,2,0,0,-147,12800000,0,1
2,1,0,1,1,2,2,0,147,25600000,0,1
2,2,0,0,-1,-1,-1,0,441,1600000,0,1
2,2,0,0,-1,-1,1,0,-441,1600000,0,1
2,2,0,0,-1,0,-1,0,441,800000,0,1
2,2,0,0,-1,0,0,0,5187,200000,0,1
2,2,0,0,-1,0,1,0,441,800000,0,1
2,2,0,0,-1,1,-1,0,441,1600000,0,1
2,2,0,0,-1,1,1,0,-441,1600000,0,1
2,2,0,0,0,-2,-2,0,-147,12800000,0,1
2,2,0,0,0,-2,0,0,147,6400000,0,1
2,2,0,0,0,-2,2,0,-147,12800000,0,1
2,2,0,0,0,0,-2,0,147,6400000,0,1
2,2,0,0,0,0,-1,0,399,400000,0,1
2,2,0,0,0,0,0,0,202019,384000,0,1
2,2,0,0,0,0,1,0,399,400000,0,1
2,2,0,0,0,0,2,0,147,6400000,0,1
2,2,0,0,0,2,-2,0,-147,12800000,0,1
2,2,0,0,0,2,0,0,147,6400000,0,1
2,2,0,0,0,2,2,0,-147,12800000,0,1
2,2,0,0,1,-1,-1,0,-441,1600000,0,1
2,2,0,0,1,-1,1,0,441,1600000,0,1
2,2,0,0,1,0,-1,0,441,800000,0,1
2,2,0,0,1,0,0,0,5187,200000,0,1
2,2,0,0,1,0,1,0,441,800000,0,1
2,2,0,0,1,1,-1,0,-441,1600000,0,1
2,2,0,0,1,1,1,0,441,1600000,0,1
2,3,0,0,-1,-1,-1,0,441,3200000,0,1
2,3,0,0,-1,-1,1,0,-441,3200000,0,1
2,3,0,0,-1,0,-1,0,441,1600000,0,1
2,3,0,0,-1,0,0,0,5187,400000,0,1
2,3,0,0,-1,0,1,0,441,1600000,0,1
2,3,0,0,-1,1,-1,0,441,3200000,0,1
2,3,0,0,-1,1,1,0,-441,3200000,0,1
2,3,0,0,0,-2,-2,0,-147,12800000,0,1
2,3,0,0,0,-2,0,0,147,6400000,0,1
2,3,0,0,0,-2,2,0,-147,12800000,0,1
2,3,0,0,0,0,-2,0,147,6400000,0,1
2,3,0,0,0,0,-1,0,399,400000,0,1
2,3,0,0,0,0,0,0,2431931,9600000,0,1
2,3,0,0,0,0,1,0,399,400000,0,1
2,3,0,0,0,0,2,0,147,6400000,0,1
2,3,0,0,0,2,-2,0,-147,12800000,0,1
2,3,0,0,0,2,0,0,147,6400000,0,1
2,3,0,0,0,2,2,0,-147,12800000,0,1
2,3,0,0,1,-1,-1,0,-441,3200000,0,1
2,3,0,0,1,-1,1,0,441,3200000,0,1
2,3,0,0,1,0,-1,0,441,1600000,0,1
2,3,0,0,1,0,0,0,5187,400000,0,1
2,3,0,0,1,0,1,0,441,1600000,0,1
2,3,0,0,1,1,-1,0,-441,3200000,0,1
2,3,0,0,1,1,1,0,441,3200000,0,1
2,4,0,0,-1,-1,-1,0,441,3200000,0,1
2,4,0,0,-1,-1,1,0,-441,3200000,0,1
2,4,0,0,-1,1,-1,0,-441,3200000,0,1
2,4,0,0,-1,1,1,0,441,3200000,0,1
2,4,0,0,0,-1,-2,0,147,6400000,0,1
2,4,0,0,0,-1,-1,0,399,1600000,0,1
2,4,0,0,0,-1,1,0,-399,1600000,0,1
2,4,0,0,0,-1,2,0,-147,6400000,0,1
2,4,0,0,0,1,-2,0,-147,6400000,0,1
2,4,0,0,0,1,-1,0,-399,1600000,0,1
2,4,0,0,0,1,1,0,399,1600000,0,1
2,4,0,0,0,1,2,0,147,6400000,0,1
2,4,0,0,1,-1,-1,0,441,3200000,0,1
2,4,0,0,1,-1,1,0,-441,3200000,0,1
2,4,0,0,1,1,-1,0,-441,3200000,0,1
2,4,0,0,1,1,1,0,441,3200000,0,1
2,5,0,0,-1,-1,-1,0,441,3200000,0,1
2,5,0,0,-1,-1,1,0,441,3200000,0,1
2,5,0,0,-1,0,-1,0,441,1600000,0,1
2,5,0,0,-1,0,1,0,-441,1600000,0,1
2,5,0,0,-1,1,-1,0,441,3200000,0,1
2,5,0,0,-1,1,1,0,441,3200000,0,1
2,5,0,0,0,-1,-1,0,399,1600000,0,1
2,5,0,0,0,-1,0,0,40147,1600000,0,1
2,5,0,0,0,-1,1,0,399,1600000,0,1
2,5,0,0,0,1,-1,0,399,1600000,0,1
2,5,0,0,0,1,0,0,40147,1600000,0,1
2,5,0,0,0,1,1,0,399,1600000,0,1
2,5,0,0,1,-1,-1,0,441,3200000,0,1
2,5,0,0,1,-1,1,0,441,3200000,0,1
2,5,0,0,1,0,-1,0,-441,1600000,0,1
2,5,0,0,1,0,1,0,441,1600000,0,1
2,5,0,0,1,1,-1,0,441,3200000,0,1
2,5,0,0,1,1,1,0,441,3200000,0,1
2,6,0,0,0,-1,-1,0,-1,240,0,1
2,6,0,0,0,-1,1,0,1,240,0,1
2,6,0,0,0,1,-1,0,1,240,0,1
2,6,0,0,0,1,1,0,-1,240,0,1
3,1,0,-1,-1,-2,-2,0,147,25600000,0,1
3,1,0,-1,-1,-2,0,0,-147,12800000,0,1
3,1,0,-1,-1,-2,2,0,147,25600000,0,1
3,1,0,-1,-1,-1,-2,0,147,12800000,0,1
3,1,0,-1,-1,-1,-1,0,147,1600000,0,1
3,1,0,-1,-1,-1,1,0,-147,1600000,0,1
3,1,0,-1,-1,-1,2,0,-147,12800000,0,1
3,1,0,-1,-1,0,-1,0,-21,320000,0,1
3,1,0,-1,-1,0,0,0,-247,80000,0,1
3,1,0,-1,-1,0,1,0,-21,320000,0,1
3,1,0,-1,-1,1,-2,0,-147,12800000,0,1
3,1,0,-1,-1,1,-1,0,-63,400000,0,1
3,1,0,-1,-1,1,1,0,63,400000,0,1
3,1,0,-1,-1,1,2,0,147,12800000,0,1
3,1,0,-1,-1,2,-2,0,-147,25600000,0,1
3,1,0,-1,-1,2,0,0,147,12800000,0,1
3,1,0,-1,-1,2,2,0,-147,25600000,0,1
3,1,0,1,1,-2,-2,0,-147,25600000,0,1
3,1,0,1,1,-2,0,0,147,12800000,0,1
3,1,0,1,1,-2,2,0,-147,25600000,0,1
3,1,0,1,1,-1,-2,0,147,12800000,0,1
3,1,0,1,1,-1,-1,0,63,400000,0,1
3,1,0,1,1,-1,1,0,-63,400000,0,1
3,1,0,1,1,-1,2,0,-147,12800000,0,1
3,1,0,1,1,0,-1,0,-21,320000,0,1
3,1,0,1,1,0,0,0,-247,80000,0,1
3,1,0,1,1,0,1,0,-21,320000,0,1
3,1,0,1,1,1,-2,0,-147,12800000,0,1
3,1,0,1,1,1,-1,0,-147,1600000,0,1
3,1,0,1,1,1,1,0,147,1600000,0,1
3,1,0,1,1,1,2,0,147,12800000,0,1
3,1,0,1,1,2,-2,0,147,25600000,0,1
3,1,0,1,1,2,0,0,-147,12800000,0,1
3,1,0,1,1,2,2,0,147,25600000,0,1
3,2,0,0,-1,-1,-1,0,441,3200000,0,1
3,2,0,0,-1,-1,1,0,-441,3200000,0,1
3,2,0,0,-1,0,-1,0,441,1600000,0,1
3,2,0,0,-1,0,0,0,5187,400000,0,1
3,2,0,0,-1,0,1,0,441,1600000,0,1
3,2,0,0,-1,1,-1,0,441,3200000,0,1
3,2,0,0,-1,1,1,0,-441,3200000,0,1
3,2,0,0,0,-2,-2,0,-147,12800000,0,1
3,2,0,0,0,-2,0,0,147,6400000,0,1
3,2,0,0,0,-2,2,0,-147,12800000,0,1
3,2,0,0,0,0,-2,0,147,6400000,0,1
3,2,0,0,0,0,-1,0,399,400000,0,1
3,2,0,0,0,0,0,0,2431931,9600000,0,1
3,2,0,0,0,0,1,0,399,400000,0,1
3,2,0,0,0,0,2,0,147,6400000,0,1
3,2,0,0,0,2,-2,0,-147,12800000,0,1
3,2,0,0,0,2,0,0,147,6400000,0,1
3,2,0,0,0,2,2,0,-147,12800000,0,1
3,2,0,0,1,-1,-1,0,-441,3200000,0,1
3,2,0,0,1,-1,1,0,441,3200000,0,1
3,2,0,0,1,0,-1,0,441,1600000,0,1
3,2,0,0,1,0,0,0,5187,400000,0,1
3,2,0,0,1,0,1,0,441,1600000,0,1
3,2,0,0,1,1,-1,0,-441,3200000,0,1
3,2,0,0,1,1,1,0,441,3200000,0,1
3,3,0,0,0,-2,-2,0,-147,12800000,0,1
3,3,0,0,0,-2,0,0,147,6400000,0,1
3,3,0,0,0,-2,2,0,-147,12800000,0,1
3,3,0,0,0,0,-2,0,147,6400000,0,1
3,3,0,0,0,0,-1,0,399,400000,0,1
3,3,0,0,0,0,0,0,2431931,9600000,0,1
3,3,0,0,0,0,1,0,399,400000,0,1
3,3,0,0,0,0,2,0,147,6400000,0,1
3,3,0,0,0,2,-2,0,-147,12800000,0,1
3,3,0,0,0,2,0,0,147,6400000,0,1
3,3,0,0,0,2,2,0,-147,12800000,0,1
3,4,0,0,0,-1,-2,0,147,6400000,0,1
3,4,0,0,0,-1,-1,0,399,1600000,0,1
3,4,0,0,0,-1,1,0,-399,1600000,0,1
3,4,0,0,0,-1,2,0,-147,6400000,0,1
3,4,0,0,0,1,-2,0,-147,6400000,0,1
3,4,0,0,0,1,-1,0,-399,1600000,0,1
3,4,0,0,0,1,1,0,399,1600000,0,1
3,4,0,0,0,1,2,0,147,6400000,0,1
3,5,0,0,0,-1,-1,0,399,1600000,0,1
3,5,0,0,0,-1,0,0,40147,1600000,0,1
3,5,0,0,0,-1,1,0,399,1600000,0,1
3,5,0,0,0,1,-1,0,399,1600000,0,1
3,5,0,0,0,1,0,0,40147,1600000,0,1
3,5,0,0,0,1,1,0,399,1600000,0,1
3,6,0,0,0,-1,-1,0,-1,240,0,1
3,6,0,0,0,-1,1,0,1,240,0,1
3,6,0,0,0,1,-1,0,1,240,0,1
3,6,0,0,0,1,1,0,-1,240,0,1
4,1,0,-1,-1,-1,-2,0,-147,12800000,0,1
4,1,0,-1,-1,-1,-1,0,-63,400000,0,1
4,1,0,-1,-1,-1,1,0,63,400000,0,1
4,1,0,-1,-1,-1,2,0,147,12800000,0,1
4,1,0,-1,-1,0,-2,0,-147,6400000,0,1
4,1,0,-1,-1,0,0,0,560441,9600000,0,1
4,1,0,-1,-1,0,2,0,-147,6400000,0,1
4,1,0,-1,-1,1,-2,0,-147,12800000,0,1
4,1,0,-1,-1,1,-1,0,-147,1600000,0,1
4,1,0,-1,-1,1,1,0,147,1600000,0,1
4,1,0,-1,-1,1,2,0,147,12800000,0,1
4,1,0,-1,0,-1,-1,0,-441,3200000,0,1
4,1,0,-1,0,-1,1,0,441,3200000,0,1
4,1,0,-1,0,1,-1,0,-441,3200000,0,1
4,1,0,-1,0,1,1,0,441,3200000,0,1
4,1,0,0,0,-1,-1,0,0,1,21,200000
4,1,0,0,0,-1,1,0,0,1,-21,200000
4,1,0,0,0,1,-1,0,0,1,21,200000
4,1,0,0,0,1,1,0,0,1,-21,200000
4,1,0,1,0,-1,-1,0,441,3200000,0,1
4,1,0,1,0,-1,1,0,-441,3200000,0,1
4,1,0,1,0,1,-1,0,441,3200000,0,1
4,1,0,1,0,1,1,0,-441,3200000,0,1
4,1,0,1,1,-1,-2,0,147,12800000,0,1
4,1,0,1,1,-1,-1,0,147,1600000,0,1
4,1,0,1,1,-1,1,0,-147,1600000,0,1
4,1,0,1,1,-1,2,0,-147,12800000,0,1
4,1,0,1,1,0,-2,0,-147,6400000,0,1
4,1,0,1,1,0,0,0,560441,9600000,0,1
4,1,0,1,1,0,2,0,-147,6400000,0,1
