row,v_j,v_k,nu1,nu2,nu3,nu4,nu5,nu6,real_num,real_den,imag_num,imag_den
4,1,3,0,-1,-1,-2,-2,0,0,1,147,25600000
4,1,3,0,-1,-1,-2,0,0,0,1,-147,12800000
4,1,3,0,-1,-1,-2,2,0,0,1,147,25600000
4,1,3,0,-1,-1,-1,-2,0,0,1,147,12800000
4,1,3,0,-1,-1,-1,-1,0,0,1,399,3200000
4,1,3,0,-1,-1,-1,1,0,0,1,-399,3200000
4,1,3,0,-1,-1,-1,2,0,0,1,-147,12800000
4,1,3,0,-1,-1,0,-2,0,0,1,147,12800000
4,1,3,0,-1,-1,0,0,0,0,1,-560441,19200000
4,1,3,0,-1,-1,0,2,0,0,1,147,12800000
4,1,3,0,-1,-1,1,-2,0,0,1,147,12800000
4,1,3,0,-1,-1,1,-1,0,0,1,399,3200000
4,1,3,0,-1,-1,1,1,0,0,1,-399,3200000
4,1,3,0,-1,-1,1,2,0,0,1,-147,12800000
4,1,3,0,-1,-1,2,-2,0,0,1,147,25600000
4,1,3,0,-1,-1,2,0,0,0,1,-147,12800000
4,1,3,0,-1,-1,2,2,0,0,1,147,25600000
4,1,3,0,1,1,-2,-2,0,0,1,-147,25600000
4,1,3,0,1,1,-2,0,0,0,1,147,12800000
4,1,3,0,1,1,-2,2,0,0,1,-147,25600000
4,1,3,0,1,1,-1,-2,0,0,1,147,12800000
4,1,3,0,1,1,-1,-1,0,0,1,399,3200000
4,1,3,0,1,1,-1,1,0,0,1,-399,3200000
4,1,3,0,1,1,-1,2,0,0,1,-147,12800000
4,1,3,0,1,1,0,-2,0,0,1,-147,12800000
4,1,3,0,1,1,0,0,0,0,1,560441,19200000
4,1,3,0,1,1,0,2,0,0,1,-147,12800000
4,1,3,0,1,1,1,-2,0,0,1,147,12800000
4,1,3,0,1,1,1,-1,0,0,1,399,3200000
4,1,3,0,1,1,1,1,0,0,1,-399,3200000
4,1,3,0,1,1,1,2,0,0,1,-147,12800000
4,1,3,0,1,1,2,-2,0,0,1,-147,25600000
4,1,3,0,1,1,2,0,0,0,1,147,12800000
4,1,3,0,1,1,2,2,0,0,1,-147,25600000
4,1,5,0,-1,-1,-1,-2,0,0,1,147,12800000
4,1,5,0,-1,-1,-1,0,0,0,1,-40147,6400000
4,1,5,0,-1,-1,-1,2,0,0,1,147,12800000
4,1,5,0,-1,-1,0,-2,0,0,1,147,6400000
4,1,5,0,-1,-1,0,2,0,0,1,-147,6400000
4,1,5,0,-1,-1,1,-2,0,0,1,147,12800000
4,1,5,0,-1,-1,1,0,0,0,1,-40147,6400000
4,1,5,0,-1,-1,1,2,0,0,1,147,12800000
4,1,5,0,1,1,-1,-2,0,0,1,-147,12800000
4,1,5,0,1,1,-1,0,0,0,1,40147,6400000
4,1,5,0,1,1,-1,2,0,0,1,-147,12800000
4,1,5,0,1,1,0,-2,0,0,1,147,6400000
4,1,5,0,1,1,0,2,0,0,1,-147,6400000
4,1,5,0,1,1,1,-2,0,0,1,-147,12800000
4,1,5,0,1,1,1,0,0,0,1,40147,6400000
4,1,5,0,1,1,1,2,0,0,1,-147,12800000
4,1,6,0,-1,-1,-1,-1,0,0,1,1,960
4,1,6,0,-1,-1,-1,1,0,0,1,-1,960
4,1,6,0,-1,-1,1,-1,0,0,1,-1,960
4,1,6,0,-1,-1,1,1,0,0,1,1,960
4,1,6,0,1,1,-1,-1,0,0,1,-1,960
4,1,6,0,1,1,-1,1,0,0,1,1,960
4,1,6,0,1,1,1,-1,0,0,1,1,960
4,1,6,0,1,1,1,1,0,0,1,-1,960
4,2,1,0,-1,-1,-2,-2,0,0,1,147,25600000
4,2,1,0,-1,-1,-2,0,0,0,1,-147,12800000
4,2,1,0,-1,-1,-2,2,0,0,1,147,25600000
4,2,1,0,-1,-1,-1,-2,0,0,1,147,12800000
4,2,1,0,-1,-1,-1,-1,0,0,1,399,3200000
4,2,1,0,-1,-1,-1,1,0,0,1,-399,3200000
4,2,1,0,-1,-1,-1,2,0,0,1,-147,12800000
4,2,1,0,-1,-1,0,-2,0,0,1,147,12800000
4,2,1,0,-1,-1,0,0,0,0,1,-560441,19200000
4,2,1,0,-1,-1,0,2,0,0,1,147,12800000
4,2,1,0,-1,-1,1,-2,0,0,1,147,12800000
4,2,1,0,-1,-1,1,-1,0,0,1,399,3200000
4,2,1,0,-1,-1,1,1,0,0,1,-399,3200000
4,2,1,0,-1,-1,1,2,0,0,1,-147,12800000
4,2,1,0,-1,-1,2,-2,0,0,1,147,25600000
4,2,1,0,-1,-1,2,0,0,0,1,-147,12800000
4,2,1,0,-1,-1,2,2,0,0,1,147,25600000
4,2,1,0,-1,0,-1,-1,0,0,1,441,3200000
4,2,1,0,-1,0,-1,1,0,0,1,-441,3200000
4,2,1,0,-1,0,1,-1,0,0,1,441,3200000
4,2,1,0,-1,0,1,1,0,0,1,-441,3200000
4,2,1,0,1,0,-1,-1,0,0,1,441,3200000
4,2,1,0,1,0,-1,1,0,0,1,-441,3200000
4,2,1,0,1,0,1,-1,0,0,1,441,3200000
4,2,1,0,1,0,1,1,0,0,1,-441,3200000
4,2,1,0,1,1,-2,-2,0,0,1,-147,25600000
4,2,1,0,1,1,-2,0,0,0,1,147,12800000
4,2,1,0,1,1,-2,2,0,0,1,-147,25600000
4,2,1,0,1,1,-1,-2,0,0,1,147,12800000
4,2,1,0,1,1,-1,-1,0,0,1,399,3200000
4,2,1,0,1,1,-1,1,0,0,1,-399,3200000
4,2,1,0,1,1,-1,2,0,0,1,-147,12800000
4,2,1,0,1,1,0,-2,0,0,1,-147,12800000
4,2,1,0,1,1,0,0,0,0,1,560441,19200000
4,2,1,0,1,1,0,2,0,0,1,-147,12800000
