i,j,k,bound
6,4,4,0
6,4,5,1/7200000000000
6,4,6,0
6,5,1,1/3600000000000
6,5,2,1/7200000000000
6,5,3,1/7200000000000
6,5,4,1/7200000000000
6,5,5,0
6,5,6,0
6,6,1,0
6,6,2,0
6,6,3,0
6,6,4,0
6,6,5,0
6,6,6,0
